starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:31:32 2023	1701916292	41	25	66	20
Wed Dec 06 18:31:27 2023	1701916287	28	38	66	26
Wed Dec 06 18:31:05 2023	1701916265	16	50	66	31
Wed Dec 06 18:31:19 2023	1701916279	39	27	66	27
Wed Dec 06 18:31:05 2023	1701916265	16	50	66	49
Wed Dec 06 18:31:06 2023	1701916266	27	39	66	26
Wed Dec 06 18:31:45 2023	1701916305	16	50	66	26
Wed Dec 06 18:31:22 2023	1701916282	24	42	66	28
Wed Dec 06 18:31:27 2023	1701916287	13	53	66	46
Wed Dec 06 18:31:33 2023	1701916293	39	27	66	17
Wed Dec 06 18:31:14 2023	1701916274	44	22	66	22
Wed Dec 06 18:31:46 2023	1701916306	16	50	66	34
Wed Dec 06 18:31:01 2023	1701916261	39	28	66	27
Wed Dec 06 18:30:56 2023	1701916256	39	27	66	27
